"date(UTC+0)","coin","amount","tag","comment"
"2026-02-23 00:00:02","USDT","-0.929614333479515424","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 00:00:02","USDT","-4.9604136269058","FundingFee","AGLD_USDT_PERP"
"2026-02-23 01:00:01","USDT","-0.949519787356102248","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 02:00:01","USDT","-0.612814091874708096","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 03:00:01","USDT","-0.6706632263734044","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 04:00:01","USDT","-0.654252143713154064","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 05:00:01","USDT","-0.936819749354112","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 06:00:01","USDT","-1.053412456080706848","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 07:00:01","USDT","-0.963094120816896432","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 08:00:02","USDT","-0.899354209377583584","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 08:00:03","USDT","-4.7930366512008","FundingFee","AGLD_USDT_PERP"
"2026-02-23 09:00:01","USDT","-1.025554976285897232","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 10:00:01","USDT","-1.076107504525416","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 11:00:01","USDT","-1.416276457223640048","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 12:00:02","USDT","-1.350536560287604848","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 13:00:01","USDT","-1.236830920684137072","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 14:00:01","USDT","-0.990066603608028","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 15:00:01","USDT","-0.837863716918824","FundingFee","AZTEC_USDT_PERP"
"2026-02-23 20:00:01","USDT","-1.64199274505728","FundingFee","FLOCK_USDT_PERP"
"2026-02-24 00:00:02","USDT","-3.755783201364","FundingFee","FLOCK_USDT_PERP"
"2026-02-24 08:00:01","USDT","0.21441044387125984","FundingFee","AKE_USDT_PERP"
"2026-02-24 12:00:01","USDT","-7.974425222437404864","FundingFee","FOGO_USDT_PERP"
"2026-02-24 12:00:02","USDT","0.0573610790794944","FundingFee","AKE_USDT_PERP"
"2026-02-24 16:00:01","USDT","-1.992048674791536144","FundingFee","FOGO_USDT_PERP"
"2026-02-24 16:00:02","USDT","0.39502060017792768","FundingFee","AKE_USDT_PERP"
"2026-02-24 20:00:01","USDT","-0.825444350213766976","FundingFee","FOGO_USDT_PERP"
"2026-02-24 20:00:02","USDT","4.3061559604725696","FundingFee","AKE_USDT_PERP"
"2026-02-25 00:00:01","USDT","-1.197708804165315456","FundingFee","FOGO_USDT_PERP"
"2026-02-25 00:00:02","USDT","3.26898595138800096","FundingFee","AKE_USDT_PERP"
"2026-02-25 04:00:01","USDT","-0.308268217083480528","FundingFee","FOGO_USDT_PERP"
"2026-02-25 04:00:02","USDT","0.756383427212656","FundingFee","AKE_USDT_PERP"
"2026-02-25 08:00:01","USDT","0.4388145517286560256","FundingFee","AKE_USDT_PERP"
"2026-02-25 08:00:02","USDT","-0.386867198377411696","FundingFee","FOGO_USDT_PERP"
"2026-02-25 12:00:01","USDT","0.2064304051273504","FundingFee","AKE_USDT_PERP"
"2026-02-25 12:00:01","USDT","-0.1916257149376416","FundingFee","FOGO_USDT_PERP"
"2026-02-25 16:00:01","USDT","-0.194453152880933184","FundingFee","FOGO_USDT_PERP"
"2026-02-25 16:00:02","USDT","0.0601054702517664","FundingFee","AKE_USDT_PERP"
"2026-02-25 16:00:02","USDT","-7.29831408623545046","FundingFee","AXL_USDT_PERP"
"2026-02-25 20:00:01","USDT","-0.269916725144139024","FundingFee","FOGO_USDT_PERP"
"2026-02-25 20:00:01","USDT","-2.51434264173534","FundingFee","AXL_USDT_PERP"
"2026-02-25 20:00:01","USDT","0.6475874802084828","FundingFee","AKE_USDT_PERP"
"2026-02-26 00:00:02","USDT","-0.16689122177095368","FundingFee","FOGO_USDT_PERP"
"2026-02-26 00:00:02","USDT","-1.2872794180221794","FundingFee","AXL_USDT_PERP"
"2026-02-26 00:00:02","USDT","0.08331137461465353626","FundingFee","AKE_USDT_PERP"
"2026-02-26 04:00:01","USDT","0.04524776535132","FundingFee","FOGO_USDT_PERP"
"2026-02-26 04:00:02","USDT","0.25937678300154311136","FundingFee","AKE_USDT_PERP"
"2026-02-26 04:00:02","USDT","-1.3171034592726348","FundingFee","AXL_USDT_PERP"
"2026-02-26 08:00:01","USDT","-1.56495993285928686","FundingFee","AXL_USDT_PERP"
"2026-02-26 08:00:02","USDT","0.079399432833561984","FundingFee","STBL_USDT_PERP"
"2026-02-26 08:00:02","USDT","-0.021504774357841824","FundingFee","FOGO_USDT_PERP"
"2026-02-26 12:00:02","USDT","0.0258014238712384","FundingFee","FOGO_USDT_PERP"
"2026-02-26 12:00:02","USDT","-2.79374741313478785","FundingFee","AXL_USDT_PERP"
"2026-02-26 12:00:02","USDT","0.080826367111776","FundingFee","STBL_USDT_PERP"
"2026-02-26 16:00:02","USDT","0.09299620640794","FundingFee","OPENEDEN_USDT_PERP"
"2026-02-26 16:00:02","USDT","-1.64186965766655","FundingFee","AXL_USDT_PERP"
"2026-02-26 16:00:02","USDT","0.03868519648511368","FundingFee","GRIFFAIN_USDT_PERP"
"2026-02-26 16:00:02","USDT","0.079582041443176272","FundingFee","STBL_USDT_PERP"
"2026-02-26 16:00:02","USDT","-0.198342850750959712","FundingFee","FOGO_USDT_PERP"
"2026-02-26 20:00:01","USDT","0.0776358992927232","FundingFee","STBL_USDT_PERP"
"2026-02-26 20:00:01","USDT","0.019680004051176","FundingFee","FOGO_USDT_PERP"
"2026-02-27 00:00:02","USDT","0.0544593504","FundingFee","FOGO_USDT_PERP"
"2026-02-27 00:00:02","USDT","0.090590319281054736","FundingFee","STBL_USDT_PERP"
"2026-02-27 04:00:01","USDT","0.10788238032","FundingFee","STBL_USDT_PERP"
"2026-02-27 04:00:01","USDT","0.037879759851664864","FundingFee","FOGO_USDT_PERP"
"2026-02-27 08:00:03","USDT","0.04897641147224","FundingFee","FOGO_USDT_PERP"
"2026-02-27 08:00:03","USDT","0.093589853835253776","FundingFee","STBL_USDT_PERP"
"2026-02-27 12:00:01","USDT","-0.001018269815592064","FundingFee","FOGO_USDT_PERP"
"2026-02-27 12:00:01","USDT","-50.2424458368","FundingFee","SAHARA_USDT_PERP"
"2026-02-27 12:00:02","USDT","0.090622366139393088","FundingFee","STBL_USDT_PERP"
"2026-02-27 13:00:01","USDT","-10.568812279945206126","FundingFee","SAHARA_USDT_PERP"
"2026-02-27 14:00:01","USDT","-8.276833170008592","FundingFee","SAHARA_USDT_PERP"
"2026-02-27 15:00:01","USDT","-6.83633879346188148","FundingFee","SAHARA_USDT_PERP"
"2026-02-27 16:00:02","USDT","0.102016396388519184","FundingFee","STBL_USDT_PERP"
"2026-02-27 16:00:02","USDT","-1.32839799487626","FundingFee","AIXBT_USDT_PERP"
